row,product_name,wix_product_id,status,family,units_per_case,current_kg_on_site,in_supplier_sheet,FILL_unit_weight_g,pkg_factor,calc_case_weight_kg,FILL_dimensions_cm,FILL_source_url,FILL_notes
1,2024 Sonny Angel Christmas Series Sealed Set (6 per set),27f8d248-51a6-4363-80bc-b23c030938e7,live,SonnyAngel,6,,,33,1.5,0.3,,,PUBLISHED figure 32-34g sonnyangelusa.com
2,2025 Advent Calendar Series (13 dolls per set),3167e410-fce9-44b1-802d-ae46db2e0b6a,live,,13,,,,1.2,0.91,,,family assumed
3,"2025 Pokémon TCG Dream Drawing 151 Series Pack (12 pcs, Ages 8–13)",372d54c0-5ee9-4947-98b1-ae4897c6065b,live,TcgMisc,12,,,,1.2,2.28,,,mixed group
4,2026 Mid-Autumn Festival Gift Box,2f61170c-72c6-4f59-9297-cb85f9d0f6f4,draft,GiftETB,,1.06,Y,,1.1,8.75,,,from ShuXiu supplier sheet
5,2026 Pokémon Chinese Exclusive Dream Drawing Vol.3 Eevee Figurine Case (9per),46d4ca44-34e4-43e6-8d05-96e7641738c8,live,TcgMisc,9,,,,1.2,1.71,,,mixed group
6,2026 Sonny Angel Happy Bag,beb3e36f-68ca-4ced-9edc-d13583de5df9,live,SonnyAngel,1,,,33,1.5,0.05,,,PUBLISHED figure 32-34g sonnyangelusa.com
7,30th Anniversary First Partner Illustration Vol.2 (8 box),da1b91ee-86bb-427c-b08d-3b1310f09c92,draft,,8,2.24,Y,,1.2,4.23,,,from ShuXiu supplier sheet
8,30th Anniversary First Partner Illustration Vol.3 (8 box),70971e6a-c5f3-48c6-a235-baa36212151a,draft,,8,2.24,Y,,1.2,4.23,,,from ShuXiu supplier sheet
9,Anime Cat Ear Plush Keychain Case (6 Toys) – Hot Deal,26303bbf-a0e5-4b40-8d02-18ec3f4f02c0,live,PlushKC,6,,,,1.4,0.36,,,no published specs found
10,"Baby Molly Winter Fit Check Blind Box (6 pcs, 15–30cm)",5156351a-7beb-4611-925e-1f6324d75506,live,PopMart,6,,,,1.4,0.92,,,only individual box dims found 7x5x5cm
11,Batch Order Bundle,d63e073e-eb04-4514-bb5a-152d41ce160c,draft,,,,,,1.2,,,,no family assigned
